movie_id,genres,director,actor
72684,Adventure Drama History War,['StanleyKubrick'],"[""RyanO'Neal"", 'MarisaBerenson', 'PatrickMagee', 'HardyKrüger']"
430357,Action Crime Thriller,['MichaelMann'],"['ColinFarrell', 'JamieFoxx', 'GongLi', 'NaomieHarris']"
790636,Biography Drama,['Jean-MarcVallée'],"['MatthewMcConaughey', 'JenniferGarner', 'JaredLeto', 'SteveZahn']"
1124035,Drama Thriller,[],"['PaulGiamatti', 'GeorgeClooney', 'PhilipSeymourHoffman', 'RyanGosling']"
1170358,Adventure Fantasy,['PeterJackson'],"['IanMcKellen', 'MartinFreeman', 'RichardArmitage', 'KenStott']"
1937390,Drama,['LarsvonTrier'],"['CharlotteGainsbourg', 'StellanSkarsgård', 'StacyMartin', 'ShiaLaBeouf']"
2084970,Biography Drama Thriller War,['MortenTyldum'],"['BenedictCumberbatch', 'KeiraKnightley', 'MatthewGoode', 'AllenLeech']"
2106476,Drama,['ThomasVinterberg'],"['MadsMikkelsen', 'ThomasBoLarsen', 'AnnikaWedderkopp', 'LasseFogelstrøm']"
2241605,Crime Mystery Thriller,['HernánGoldfrid'],"['RicardoDarín', 'NataliaSantiago', 'AlbertoAmmann', 'CaluRivero']"
2404461,Drama Mystery,['AsgharFarhadi'],"['BéréniceBejo', 'TaharRahim', 'AliMosaffa', 'PaulineBurlet']"
3089326,Drama Thriller,['CarlosVermut'],"['JoséSacristán', 'MarinaAndruix', 'RaimundodelosReyes', 'LucíaPollán']"
4082068,Crime Drama,['JacquesAudiard'],"['JesuthasanAntonythasan', 'KalieaswariSrinivasan', 'ClaudineVinasithamby', 'VincentRottiers']"
48545,Drama,['NicholasRay'],"['JamesDean', 'NatalieWood', 'SalMineo', 'JimBackus']"
56687,Drama Horror Thriller,['RobertAldrich'],"['BetteDavis', 'JoanCrawford', 'VictorBuono', 'WesleyAddy']"
70909,Action SciFi Thriller Western,['MichaelCrichton'],"['YulBrynner', 'RichardBenjamin', 'JamesBrolin', 'NormanBartold']"
76759,Action Adventure Fantasy SciFi,['GeorgeLucas'],"['MarkHamill', 'HarrisonFord', 'CarrieFisher', 'AlecGuinness']"
81505,Drama Horror,['StanleyKubrick'],"['JackNicholson', 'ShelleyDuvall', 'DannyLloyd', 'ScatmanCrothers']"
82010,Comedy Horror,['JohnLandis'],"['DavidNaughton', 'JennyAgutter', 'JoeBelcher', 'GriffinDunne']"
85995,Adventure Comedy,['HaroldRamis'],"['ChevyChase', ""BeverlyD'Angelo"", 'ImogeneCoca', 'RandyQuaid']"
86190,Action Adventure Fantasy SciFi,['RichardMarquand'],"['MarkHamill', 'HarrisonFord', 'CarrieFisher', 'BillyDeeWilliams']"
87363,Comedy Fantasy Horror,['JoeDante'],"['ZachGalligan', 'PhoebeCates', 'HoytAxton', 'JohnLouie']"
87800,Horror,['WesCraven'],"['HeatherLangenkamp', 'JohnnyDepp', 'RobertEnglund', 'JohnSaxon']"
89218,Adventure Comedy Family,['RichardDonner'],"['SeanAstin', 'JoshBrolin', 'JeffCohen', 'CoreyFeldman']"
92106,Animation Action Adventure Family SciFi,['NelsonShin'],"['OrsonWelles', 'RobertStack', 'LeonardNimoy', 'NormanAlden']"
93437,Comedy Horror,['JoelSchumacher'],"['JasonPatric', 'CoreyHaim', 'DianneWiest', 'BarnardHughes']"
94737,Comedy Drama Fantasy Romance,['PennyMarshall'],"['TomHanks', 'ElizabethPerkins', 'RobertLoggia', 'JohnHeard']"
95016,Action Thriller,['JohnMcTiernan'],"['BruceWillis', 'AlanRickman', 'BonnieBedelia', 'ReginaldVelJohnson']"
95765,Drama,['GiuseppeTornatore'],"['PhilippeNoiret', 'EnzoCannavale', 'AntonellaAttili', 'IsaDanieli']"
96283,Animation Family Fantasy,['HayaoMiyazaki'],"['HitoshiTakagi', 'NorikoHidaka', 'ChikaSakamoto', 'ShigesatoItoi']"
97428,Action Comedy Fantasy SciFi,['IvanReitman'],"['BillMurray', 'DanAykroyd', 'SigourneyWeaver', 'HaroldRamis']"
97958,Comedy,['JeremiahS.Chechik'],"['ChevyChase', ""BeverlyD'Angelo"", 'JulietteLewis', 'JohnnyGalecki']"
98084,Horror Thriller,['MaryLambert'],"['DaleMidkiff', 'DeniseCrosby', 'FredGwynne', 'BradGreenquist']"
99700,Comedy Fantasy Horror,"['JoeDante', 'ChuckJones']","['ZachGalligan', 'PhoebeCates', 'HowieMandel', 'TonyRandall']"
106977,Action Crime Drama Mystery Thriller,['AndrewDavis'],"['HarrisonFord', 'TommyLeeJones', 'SelaWard', 'JulianneMoore']"
114746,Mystery SciFi Thriller,['TerryGilliam'],"['BruceWillis', 'MadeleineStowe', 'BradPitt', 'JosephMelito']"
115964,Drama,['DavidCronenberg'],"['JamesSpader', 'HollyHunter', 'EliasKoteas', 'DeborahKaraUnger']"
116209,Drama Romance War,['AnthonyMinghella'],"['RalphFiennes', 'JulietteBinoche', 'WillemDafoe', 'KristinScottThomas']"
117951,Drama,['DannyBoyle'],"['EwanMcGregor', 'EwenBremner', 'JonnyLeeMiller', 'KevinMcKidd']"
120616,Action Adventure Fantasy,['StephenSommers'],"['BrendanFraser', 'RachelWeisz', 'JohnHannah', 'ArnoldVosloo']"
120815,Drama War,['StevenSpielberg'],"['TomHanks', 'MattDamon', 'TomSizemore', 'EdwardBurns']"
120915,Action Adventure Fantasy SciFi,['GeorgeLucas'],"['EwanMcGregor', 'LiamNeeson', 'NataliePortman', 'JakeLloyd']"
121765,Action Adventure Fantasy SciFi,['GeorgeLucas'],"['HaydenChristensen', 'NataliePortman', 'EwanMcGregor', 'ChristopherLee']"
121766,Action Adventure Fantasy SciFi,['GeorgeLucas'],"['HaydenChristensen', 'NataliePortman', 'EwanMcGregor', 'SamuelL.Jackson']"
138097,Comedy Drama History Romance,['JohnMadden'],"['GwynethPaltrow', 'JosephFiennes', 'GeoffreyRush', 'TomWilkinson']"
170016,Comedy Family Fantasy,['RonHoward'],"['JimCarrey', 'TaylorMomsen', 'Kelley', 'JeffreyTambor']"
209163,Action Adventure Fantasy Thriller,['StephenSommers'],"['BrendanFraser', 'RachelWeisz', 'JohnHannah', 'ArnoldVosloo']"
217505,Crime Drama,['MartinScorsese'],"['LeonardoDiCaprio', 'CameronDiaz', 'DanielDay-Lewis', 'JimBroadbent']"
243155,Comedy Drama Romance,['SharonMaguire'],"['RenéeZellweger', 'ColinFirth', 'HughGrant', 'GemmaJones']"
310793,Documentary Crime Drama,[],[]
317705,Animation Action Adventure Family,['BradBird'],"['CraigT.Nelson', 'SamuelL.Jackson', 'HollyHunter', 'JasonLee']"
376479,Crime Drama,[],"['EwanMcGregor', 'JenniferConnelly', 'DakotaFanning', 'PeterRiegert']"
381061,Action Adventure Thriller,['MartinCampbell'],"['DanielCraig', 'EvaGreen', 'JudiDench', 'JeffreyWright']"
